Date,Mortgage_1Y,Mortgage_3Y,Mortgage_5Y,Prime_Rate
1/1/2005,4.25,4.8,5.6,6.05
1/2/2005,4.25,4.8,5.6,6.05
1/3/2005,4.25,4.8,5.6,6.05
1/4/2005,4.25,4.8,5.6,6.05
1/5/2005,4.25,4.8,5.6,6.05
1/6/2005,4.25,4.8,5.6,6.05
1/7/2005,4.25,4.8,5.6,6.05
1/8/2005,4.25,4.8,5.6,6.05
1/9/2005,4.25,4.8,5.6,6.05
1/10/2005,4.25,4.8,5.6,6.05
1/11/2005,4.25,4.8,5.6,6.05
1/12/2005,4.25,4.8,5.6,6.05
1/13/2005,4.25,4.8,5.6,6.05
1/14/2005,4.25,4.8,5.6,6.05
1/15/2005,4.25,4.8,5.6,6.05
1/16/2005,4.25,4.8,5.6,6.05
1/17/2005,4.25,4.8,5.6,6.05
1/18/2005,4.25,4.8,5.6,6.05
1/19/2005,4.25,4.8,5.6,6.05
1/20/2005,4.25,4.8,5.6,6.05
1/21/2005,4.25,4.8,5.6,6.05
1/22/2005,4.25,4.8,5.6,6.05
1/23/2005,4.25,4.8,5.6,6.05
1/24/2005,4.25,4.8,5.6,6.05
1/25/2005,4.25,4.8,5.6,6.05
1/26/2005,4.25,4.8,5.6,6.05
1/27/2005,4.25,4.8,5.6,6.05
1/28/2005,4.25,4.8,5.6,6.05
1/29/2005,4.25,4.8,5.6,6.05
1/30/2005,4.25,4.8,5.6,6.05
1/31/2005,4.25,4.8,5.6,6.05
2/1/2005,4.25,4.8,5.6,6.05
2/2/2005,4.25,4.8,5.6,6.05
2/3/2005,4.25,4.8,5.6,6.05
2/4/2005,4.25,4.8,5.6,6.05
2/5/2005,4.25,4.8,5.6,6.05
2/6/2005,4.25,4.8,5.6,6.05
2/7/2005,4.25,4.8,5.6,6.05
2/8/2005,4.25,4.8,5.6,6.05
2/9/2005,4.25,4.8,5.6,6.05
2/10/2005,4.25,4.8,5.6,6.05
2/11/2005,4.25,4.8,5.6,6.05
2/12/2005,4.25,4.8,5.6,6.05
2/13/2005,4.25,4.8,5.6,6.05
2/14/2005,4.25,4.8,5.6,6.05
2/15/2005,4.25,4.8,5.6,6.05
2/16/2005,4.25,4.8,5.6,6.05
2/17/2005,4.25,4.8,5.6,6.05
2/18/2005,4.25,4.8,5.6,6.05
2/19/2005,4.25,4.8,5.6,6.05
2/20/2005,4.25,4.8,5.6,6.05
2/21/2005,4.25,4.8,5.6,6.05
2/22/2005,4.25,4.8,5.6,6.05
2/23/2005,4.25,4.8,5.6,6.05
2/24/2005,4.25,4.8,5.6,6.05
2/25/2005,4.25,4.8,5.6,6.05
2/26/2005,4.25,4.8,5.6,6.05
2/27/2005,4.25,4.8,5.6,6.05
2/28/2005,4.25,4.8,5.6,6.05
3/1/2005,4.25,4.8,5.6,6.05
3/2/2005,4.25,4.8,5.6,6.05
3/3/2005,4.25,4.8,5.6,6.05
3/4/2005,4.25,4.8,5.6,6.05
3/5/2005,4.25,4.8,5.6,6.05
3/6/2005,4.25,4.8,5.6,6.05
3/7/2005,4.25,4.8,5.6,6.05
3/8/2005,4.25,4.8,5.6,6.05
3/9/2005,4.25,4.8,5.6,6.05
3/10/2005,4.25,4.8,5.6,6.05
3/11/2005,4.25,4.8,5.6,6.05
3/12/2005,4.25,4.8,5.6,6.05
3/13/2005,4.25,4.8,5.6,6.05
3/14/2005,4.25,4.8,5.6,6.05
3/15/2005,4.25,4.8,5.6,6.05
3/16/2005,4.25,4.8,5.6,6.05
3/17/2005,4.25,4.8,5.6,6.05
3/18/2005,4.25,4.8,5.6,6.05
3/19/2005,4.25,4.8,5.6,6.05
3/20/2005,4.25,4.8,5.6,6.05
3/21/2005,4.25,4.8,5.6,6.05
3/22/2005,4.25,4.8,5.6,6.05
3/23/2005,4.25,4.8,5.6,6.05
3/24/2005,4.25,4.8,5.6,6.05
3/25/2005,4.25,4.8,5.6,6.05
3/26/2005,4.25,4.8,5.6,6.05
3/27/2005,4.25,4.8,5.6,6.05
3/28/2005,4.25,4.8,5.6,6.05
3/29/2005,4.25,4.8,5.6,6.05
3/30/2005,4.25,5.05,5.85,6.25
3/31/2005,4.25,5.05,5.85,6.25
4/1/2005,4.25,5.05,5.85,6.25
4/2/2005,4.25,5.05,5.85,6.25
4/3/2005,4.25,5.05,5.85,6.25
4/4/2005,4.25,5.05,5.85,6.25
4/5/2005,4.25,5.05,5.85,6.25
4/6/2005,4.25,5.05,5.85,6.25
4/7/2005,4.25,5.05,5.85,6.25
4/8/2005,4.25,5.05,5.85,6.25
4/9/2005,4.25,5.05,5.85,6.25
4/10/2005,4.25,5.05,5.85,6.25
4/11/2005,4.25,5.05,5.85,6.25
4/12/2005,4.25,5.05,5.85,6.25
4/13/2005,4.25,5.05,5.85,6.25
4/14/2005,4.25,5.05,5.85,6.25
4/15/2005,4.25,5.05,5.85,6.25
4/16/2005,4.25,5.05,5.85,6.25
4/17/2005,4.25,5.05,5.85,6.25
4/18/2005,4.25,5.05,5.85,6.25
4/19/2005,4.25,5.05,5.85,6.25
4/20/2005,4.25,4.9,5.6,6.05
4/21/2005,4.25,4.9,5.6,6.05
4/22/2005,4.25,4.9,5.6,6.05
4/23/2005,4.25,4.9,5.6,6.05
4/24/2005,4.25,4.9,5.6,6.05
4/25/2005,4.25,4.9,5.6,6.05
4/26/2005,4.25,4.9,5.6,6.05
4/27/2005,4.25,4.9,5.6,6.05
4/28/2005,4.25,4.9,5.6,6.05
4/29/2005,4.25,4.9,5.6,6.05
4/30/2005,4.25,4.9,5.6,6.05
5/1/2005,4.25,4.9,5.6,6.05
5/2/2005,4.25,4.9,5.6,6.05
5/3/2005,4.25,4.9,5.6,6.05
5/4/2005,4.25,4.9,5.6,6.05
5/5/2005,4.25,4.9,5.6,6.05
5/6/2005,4.25,4.9,5.6,6.05
5/7/2005,4.25,4.9,5.6,6.05
5/8/2005,4.25,4.9,5.6,6.05
5/9/2005,4.25,4.9,5.6,6.05
5/10/2005,4.25,4.9,5.6,6.05
5/11/2005,4.25,4.9,5.6,6.05
5/12/2005,4.25,4.9,5.6,6.05
5/13/2005,4.25,4.9,5.6,6.05
5/14/2005,4.25,4.9,5.6,6.05
5/15/2005,4.25,4.9,5.6,6.05
5/16/2005,4.25,4.9,5.6,6.05
5/17/2005,4.25,4.9,5.6,6.05
5/18/2005,4.25,4.9,5.6,6.05
5/19/2005,4.25,4.9,5.6,6.05
5/20/2005,4.25,4.9,5.6,6.05
5/21/2005,4.25,4.9,5.6,6.05
5/22/2005,4.25,4.9,5.6,6.05
5/23/2005,4.25,4.9,5.6,6.05
5/24/2005,4.25,4.9,5.6,6.05
5/25/2005,4.25,4.85,5.6,5.95
5/26/2005,4.25,4.85,5.6,5.95
5/27/2005,4.25,4.85,5.6,5.95
5/28/2005,4.25,4.85,5.6,5.95
5/29/2005,4.25,4.85,5.6,5.95
5/30/2005,4.25,4.85,5.6,5.95
5/31/2005,4.25,4.85,5.6,5.95
6/1/2005,4.25,4.85,5.5,5.85
6/2/2005,4.25,4.85,5.5,5.85
6/3/2005,4.25,4.85,5.5,5.85
6/4/2005,4.25,4.85,5.5,5.85
6/5/2005,4.25,4.85,5.5,5.85
6/6/2005,4.25,4.85,5.5,5.85
6/7/2005,4.25,4.85,5.5,5.85
6/8/2005,4.25,4.75,5.35,5.7
6/9/2005,4.25,4.75,5.35,5.7
6/10/2005,4.25,4.75,5.35,5.7
6/11/2005,4.25,4.75,5.35,5.7
6/12/2005,4.25,4.75,5.35,5.7
6/13/2005,4.25,4.75,5.35,5.7
6/14/2005,4.25,4.75,5.35,5.7
6/15/2005,4.25,4.75,5.35,5.7
6/16/2005,4.25,4.75,5.35,5.7
6/17/2005,4.25,4.75,5.35,5.7
6/18/2005,4.25,4.75,5.35,5.7
6/19/2005,4.25,4.75,5.35,5.7
6/20/2005,4.25,4.75,5.35,5.7
6/21/2005,4.25,4.75,5.35,5.7
6/22/2005,4.25,4.75,5.35,5.7
6/23/2005,4.25,4.75,5.35,5.7
6/24/2005,4.25,4.75,5.35,5.7
6/25/2005,4.25,4.75,5.35,5.7
6/26/2005,4.25,4.75,5.35,5.7
6/27/2005,4.25,4.75,5.35,5.7
6/28/2005,4.25,4.75,5.35,5.7
6/29/2005,4.25,4.75,5.35,5.7
6/30/2005,4.25,4.75,5.35,5.7
7/1/2005,4.25,4.75,5.35,5.7
7/2/2005,4.25,4.75,5.35,5.7
7/3/2005,4.25,4.75,5.35,5.7
7/4/2005,4.25,4.75,5.35,5.7
7/5/2005,4.25,4.75,5.35,5.7
7/6/2005,4.25,4.75,5.35,5.7
7/7/2005,4.25,4.75,5.35,5.7
7/8/2005,4.25,4.75,5.35,5.7
7/9/2005,4.25,4.75,5.35,5.7
