Feature,Coefficient
Index_Lag3,-0.0012704192843064899
Month,0.004729756322761652
Mortgage_1Y,-0.014372995798793984
Index_Lag12,0.01731185279190744
Mortgage_5Y_Change,0.022532530654424142
Index_YoY_Change,0.04389403301385736
Prime_Rate,-0.10846179388956569
Mortgage_5Y,-0.14080480496761055
Quarter,-0.14319327937145856
Index_MA12,0.15232667563653085
MA3_MA12_Diff,0.15656706101142395
Mortgage_3Y,0.1765835491721121
Index_MA3,0.3088937366479548
Price_Above_MA3,0.33728303048375347
Index_Lag1,-0.4786642121240282
