Date,Mortgage_1Y_x,Mortgage_3Y_x,Mortgage_5Y_x,Prime_Rate_x,Mortgage_1Y_y,Mortgage_3Y_y,Mortgage_5Y_y,Prime_Rate_y,Policy_Rate,Policy_Rate_Lag1,Policy_Rate_Lag3,Policy_Rate_Lag12,Prime_Rate_MoM_Change,Prime_Rate_YoY_Change,Mortgage_5Y_Change,Mortgage_5Y_MA3,Mortgage_5Y_MA12,Month,Quarter,Year,Price_Above_MA3,MA3_MA12_Diff,City
2005-01-01,4.25,4.8,5.6,6.05,4.25,4.8,5.6,6.05,,,,,,,,5.6,5.6,1,1,2005,0.0,0.0,Greater Vancouver
2005-01-02,4.25,4.8,5.6,6.05,,,,,,,,,0.0,,0.0,5.6,5.6,1,1,2005,0.0,0.0,Greater Vancouver
2005-01-03,4.25,4.8,5.6,6.05,,,,,,,,,0.0,,0.0,5.6,5.6,1,1,2005,0.0,0.0,Greater Vancouver
2005-01-04,4.25,4.8,5.6,6.05,,,,,,,,,0.0,,0.0,5.6,5.6,1,1,2005,0.0,0.0,Greater Vancouver
2005-01-05,4.25,4.8,5.6,6.05,,,,,,,,,0.0,,0.0,5.6,5.6,1,1,2005,0.0,0.0,Greater Vancouver
2005-01-06,4.25,4.8,5.6,6.05,,,,,,,,,0.0,,0.0,5.6,5.6,1,1,2005,0.0,0.0,Greater Vancouver
2005-01-07,4.25,4.8,5.6,6.05,,,,,,,,,0.0,,0.0,5.6,5.6,1,1,2005,0.0,0.0,Greater Vancouver
2005-01-08,4.25,4.8,5.6,6.05,,,,,,,,,0.0,,0.0,5.6,5.6,1,1,2005,0.0,0.0,Greater Vancouver
2005-01-09,4.25,4.8,5.6,6.05,,,,,,,,,0.0,,0.0,5.6,5.6,1,1,2005,0.0,0.0,Greater Vancouver
2005-01-10,4.25,4.8,5.6,6.05,,,,,,,,,0.0,,0.0,5.6,5.6,1,1,2005,0.0,0.0,Greater Vancouver
2005-01-11,4.25,4.8,5.6,6.05,,,,,,,,,0.0,,0.0,5.6,5.6,1,1,2005,0.0,0.0,Greater Vancouver
2005-01-12,4.25,4.8,5.6,6.05,,,,,,,,,0.0,,0.0,5.6,5.6,1,1,2005,0.0,0.0,Greater Vancouver
2005-01-13,4.25,4.8,5.6,6.05,,,,,,,,,0.0,0.0,0.0,5.6,5.6,1,1,2005,0.0,0.0,Greater Vancouver
2005-01-14,4.25,4.8,5.6,6.05,,,,,,,,,0.0,0.0,0.0,5.6,5.6,1,1,2005,0.0,0.0,Greater Vancouver
2005-01-15,4.25,4.8,5.6,6.05,,,,,,,,,0.0,0.0,0.0,5.6,5.6,1,1,2005,0.0,0.0,Greater Vancouver
2005-01-16,4.25,4.8,5.6,6.05,,,,,,,,,0.0,0.0,0.0,5.6,5.6,1,1,2005,0.0,0.0,Greater Vancouver
2005-01-17,4.25,4.8,5.6,6.05,,,,,,,,,0.0,0.0,0.0,5.6,5.6,1,1,2005,0.0,0.0,Greater Vancouver
