Feature,Importance
Price_Above_MA3,0.8942458563101183
Index_Lag1,0.019990333643592706
Index_Lag12,0.014913831246061961
Month,0.011014684227271535
MA3_MA12_Diff,0.010738891190249527
Index_MA3,0.010652195701938151
Index_Lag3,0.008944676323069986
Index_YoY_Change,0.008735965883629319
Index_MA12,0.007530665357788483
Mortgage_5Y_Change,0.004435723601917952
Mortgage_1Y,0.0024182706554826587
Mortgage_3Y,0.001938806301626694
Prime_Rate,0.0018947857011349016
Mortgage_5Y,0.0015775817255493745
Quarter,0.0009677321305683593
