Date,City,House_Type,Price,Index
1/1/2005,Greater Vancouver,Composite,349600,100
2/1/2005,Greater Vancouver,Composite,353000,101
3/1/2005,Greater Vancouver,Composite,357400,102.2
4/1/2005,Greater Vancouver,Composite,360500,103.1
5/1/2005,Greater Vancouver,Composite,364000,104.1
6/1/2005,Greater Vancouver,Composite,367900,105.2
7/1/2005,Greater Vancouver,Composite,372300,106.5
8/1/2005,Greater Vancouver,Composite,376500,107.7
9/1/2005,Greater Vancouver,Composite,383800,109.8
10/1/2005,Greater Vancouver,Composite,385400,110.2
11/1/2005,Greater Vancouver,Composite,387400,110.8
12/1/2005,Greater Vancouver,Composite,390000,111.6
1/1/2006,Greater Vancouver,Composite,398800,114.1
2/1/2006,Greater Vancouver,Composite,407300,116.5
3/1/2006,Greater Vancouver,Composite,415700,118.9
4/1/2006,Greater Vancouver,Composite,424600,121.5
5/1/2006,Greater Vancouver,Composite,433000,123.9
6/1/2006,Greater Vancouver,Composite,441100,126.2
7/1/2006,Greater Vancouver,Composite,445200,127.3
8/1/2006,Greater Vancouver,Composite,448900,128.4
9/1/2006,Greater Vancouver,Composite,452400,129.4
10/1/2006,Greater Vancouver,Composite,451800,129.2
11/1/2006,Greater Vancouver,Composite,450900,129
12/1/2006,Greater Vancouver,Composite,450100,128.7
1/1/2007,Greater Vancouver,Composite,457300,130.8
2/1/2007,Greater Vancouver,Composite,464500,132.9
3/1/2007,Greater Vancouver,Composite,471500,134.9
4/1/2007,Greater Vancouver,Composite,479800,137.2
5/1/2007,Greater Vancouver,Composite,486600,139.2
6/1/2007,Greater Vancouver,Composite,494300,141.4
7/1/2007,Greater Vancouver,Composite,498400,142.6
8/1/2007,Greater Vancouver,Composite,502500,143.7
9/1/2007,Greater Vancouver,Composite,506800,145
10/1/2007,Greater Vancouver,Composite,508100,145.3
11/1/2007,Greater Vancouver,Composite,510500,146
12/1/2007,Greater Vancouver,Composite,513600,146.9
1/1/2008,Greater Vancouver,Composite,520400,148.9
2/1/2008,Greater Vancouver,Composite,526300,150.5
3/1/2008,Greater Vancouver,Composite,533800,152.7
4/1/2008,Greater Vancouver,Composite,534900,153
5/1/2008,Greater Vancouver,Composite,535200,153.1
6/1/2008,Greater Vancouver,Composite,535600,153.2
7/1/2008,Greater Vancouver,Composite,525700,150.4
8/1/2008,Greater Vancouver,Composite,517100,147.9
9/1/2008,Greater Vancouver,Composite,508700,145.5
10/1/2008,Greater Vancouver,Composite,492700,140.9
11/1/2008,Greater Vancouver,Composite,478400,136.8
12/1/2008,Greater Vancouver,Composite,465400,133.1
1/1/2009,Greater Vancouver,Composite,464100,132.8
2/1/2009,Greater Vancouver,Composite,463000,132.4
3/1/2009,Greater Vancouver,Composite,462100,132.2
4/1/2009,Greater Vancouver,Composite,469700,134.4
5/1/2009,Greater Vancouver,Composite,477500,136.6
6/1/2009,Greater Vancouver,Composite,485500,138.9
7/1/2009,Greater Vancouver,Composite,495100,141.6
8/1/2009,Greater Vancouver,Composite,505000,144.5
9/1/2009,Greater Vancouver,Composite,515700,147.5
10/1/2009,Greater Vancouver,Composite,521200,149.1
11/1/2009,Greater Vancouver,Composite,527500,150.9
12/1/2009,Greater Vancouver,Composite,533600,152.6
1/1/2010,Greater Vancouver,Composite,542900,155.3
2/1/2010,Greater Vancouver,Composite,550300,157.4
3/1/2010,Greater Vancouver,Composite,561600,160.6
4/1/2010,Greater Vancouver,Composite,566700,162.1
5/1/2010,Greater Vancouver,Composite,568200,162.5
6/1/2010,Greater Vancouver,Composite,564700,161.5
