Feature,Importance
Price_Above_MA3,0.8942425089629982
Index_Lag1,0.02054290960589192
Index_Lag12,0.016027731083378655
Month,0.010947031552722234
MA3_MA12_Diff,0.010715717852709293
Index_MA3,0.009579434904658984
Index_YoY_Change,0.008740116994945776
Index_Lag3,0.008086706966486121
Index_MA12,0.007770151791531709
Mortgage_5Y_Change,0.00446232057159118
Mortgage_1Y,0.0023943525090033006
Prime_Rate,0.001943303180764407
Mortgage_3Y,0.0017339294173070931
Mortgage_5Y,0.0016726510457975984
Quarter,0.0011411335602135614
